id,key,value,type
4826498152,note,Way ref dummy node outside bounding box,regular
1763012935,note,Way ref dummy node outside bounding box,regular
3823956308,note,Way ref dummy node outside bounding box,regular
4793451461,note,Way ref dummy node outside bounding box,regular
833392089,note,Way ref dummy node outside bounding box,regular
2390062800,note,Way ref dummy node outside bounding box,regular
201234407,note,Way ref dummy node outside bounding box,regular
814186751,note,Way ref dummy node outside bounding box,regular
929294631,note,Way ref dummy node outside bounding box,regular
2598423416,note,Way ref dummy node outside bounding box,regular
1576580845,note,Way ref dummy node outside bounding box,regular
6220665656,note,Way ref dummy node outside bounding box,regular
2798930830,note,Way ref dummy node outside bounding box,regular
2619788166,note,Way ref dummy node outside bounding box,regular
2621383508,note,Way ref dummy node outside bounding box,regular
3305137920,note,Way ref dummy node outside bounding box,regular
2621383741,note,Way ref dummy node outside bounding box,regular
507891607,note,Way ref dummy node outside bounding box,regular
2276661315,note,Way ref dummy node outside bounding box,regular
262975332,note,Way ref dummy node outside bounding box,regular
3800709165,note,Way ref dummy node outside bounding box,regular
5854305712,note,Way ref dummy node outside bounding box,regular
2083041818,note,Way ref dummy node outside bounding box,regular
814186670,note,Way ref dummy node outside bounding box,regular
4844016260,note,Way ref dummy node outside bounding box,regular
2598423220,note,Way ref dummy node outside bounding box,regular
540239413,note,Way ref dummy node outside bounding box,regular
7091617473,note,Way ref dummy node outside bounding box,regular
7542456256,note,Way ref dummy node outside bounding box,regular
1576580841,note,Way ref dummy node outside bounding box,regular
2988122999,note,Way ref dummy node outside bounding box,regular
3305141975,note,Way ref dummy node outside bounding box,regular
2390372225,note,Way ref dummy node outside bounding box,regular
249734346,note,Way ref dummy node outside bounding box,regular
3305137905,note,Way ref dummy node outside bounding box,regular
262979147,note,Way ref dummy node outside bounding box,regular
4465310986,note,Way ref dummy node outside bounding box,regular
321811864,note,Way ref dummy node outside bounding box,regular
248571225,note,Way ref dummy node outside bounding box,regular
7603663792,note,Way ref dummy node outside bounding box,regular
4281200012,note,Way ref dummy node outside bounding box,regular
3305137910,note,Way ref dummy node outside bounding box,regular
316946938,note,Way ref dummy node outside bounding box,regular
1078989910,note,Way ref dummy node outside bounding box,regular
4851434231,note,Way ref dummy node outside bounding box,regular
2693103859,note,Way ref dummy node outside bounding box,regular
4573537687,note,Way ref dummy node outside bounding box,regular
2494963835,note,Way ref dummy node outside bounding box,regular
2619788683,note,Way ref dummy node outside bounding box,regular
3430746716,note,Way ref dummy node outside bounding box,regular
325688988,note,Way ref dummy node outside bounding box,regular
5251086016,note,Way ref dummy node outside bounding box,regular
2494963731,note,Way ref dummy node outside bounding box,regular
322773055,note,Way ref dummy node outside bounding box,regular
4465310982,note,Way ref dummy node outside bounding box,regular
928861063,note,Way ref dummy node outside bounding box,regular
4793451591,note,Way ref dummy node outside bounding box,regular
2963533109,note,Way ref dummy node outside bounding box,regular
2475112830,note,Way ref dummy node outside bounding box,regular
275665218,note,Way ref dummy node outside bounding box,regular
663732341,note,Way ref dummy node outside bounding box,regular
2693103802,note,Way ref dummy node outside bounding box,regular
231775439,note,Way ref dummy node outside bounding box,regular
732197732,note,Way ref dummy node outside bounding box,regular
321238642,note,Way ref dummy node outside bounding box,regular
288676491,note,Way ref dummy node outside bounding box,regular
2769523818,note,Way ref dummy node outside bounding box,regular
394862595,note,Way ref dummy node outside bounding box,regular
267113318,note,Way ref dummy node outside bounding box,regular
248769577,note,Way ref dummy node outside bounding box,regular
322783241,note,Way ref dummy node outside bounding box,regular
21890105,note,Way ref dummy node outside bounding box,regular
201239037,note,Way ref dummy node outside bounding box,regular
833391974,note,Way ref dummy node outside bounding box,regular
249734785,note,Way ref dummy node outside bounding box,regular
248571222,note,Way ref dummy node outside bounding box,regular
1239983981,note,Way ref dummy node outside bounding box,regular
1575532760,note,Way ref dummy node outside bounding box,regular
2835259869,note,Way ref dummy node outside bounding box,regular
275812671,note,Way ref dummy node outside bounding box,regular
4793451627,note,Way ref dummy node outside bounding box,regular
4573537338,note,Way ref dummy node outside bounding box,regular
201234469,note,Way ref dummy node outside bounding box,regular
1422927415,note,Way ref dummy node outside bounding box,regular
4439096277,note,Way ref dummy node outside bounding box,regular
2769524015,note,Way ref dummy node outside bounding box,regular
1610510711,note,Way ref dummy node outside bounding box,regular
1576580817,note,Way ref dummy node outside bounding box,regular
420504220,note,Way ref dummy node outside bounding box,regular
275665543,note,Way ref dummy node outside bounding box,regular
3639252921,note,Way ref dummy node outside bounding box,regular
2494963556,note,Way ref dummy node outside bounding box,regular
4439096124,note,Way ref dummy node outside bounding box,regular
4573537686,note,Way ref dummy node outside bounding box,regular
6441481659,note,Way ref dummy node outside bounding box,regular
2389995570,note,Way ref dummy node outside bounding box,regular
321802677,note,Way ref dummy node outside bounding box,regular
7334312819,note,Way ref dummy node outside bounding box,regular
248647865,note,Way ref dummy node outside bounding box,regular
661103718,note,Way ref dummy node outside bounding box,regular
539773252,note,Way ref dummy node outside bounding box,regular
3107718056,note,Way ref dummy node outside bounding box,regular
4297712285,note,Way ref dummy node outside bounding box,regular
330319066,note,Way ref dummy node outside bounding box,regular
298658174,note,Way ref dummy node outside bounding box,regular
442667423,note,Way ref dummy node outside bounding box,regular
4465310994,note,Way ref dummy node outside bounding box,regular
346125257,note,Way ref dummy node outside bounding box,regular
249734475,note,Way ref dummy node outside bounding box,regular
2598423439,note,Way ref dummy node outside bounding box,regular
275902356,note,Way ref dummy node outside bounding box,regular
712621228,note,Way ref dummy node outside bounding box,regular
3599557858,note,Way ref dummy node outside bounding box,regular
929221525,note,Way ref dummy node outside bounding box,regular
4917728401,note,Way ref dummy node outside bounding box,regular
2798931128,note,Way ref dummy node outside bounding box,regular
1363535005,note,Way ref dummy node outside bounding box,regular
712611873,note,Way ref dummy node outside bounding box,regular
4716808602,note,Way ref dummy node outside bounding box,regular
4783256542,note,Way ref dummy node outside bounding box,regular
249754168,note,Way ref dummy node outside bounding box,regular
663732192,note,Way ref dummy node outside bounding box,regular
2798931131,note,Way ref dummy node outside bounding box,regular
4573537647,note,Way ref dummy node outside bounding box,regular
262990036,note,Way ref dummy node outside bounding box,regular
712611893,note,Way ref dummy node outside bounding box,regular
2083041792,note,Way ref dummy node outside bounding box,regular
4573537799,note,Way ref dummy node outside bounding box,regular
682245835,note,Way ref dummy node outside bounding box,regular
671762617,note,Way ref dummy node outside bounding box,regular
2693103869,note,Way ref dummy node outside bounding box,regular
322783244,note,Way ref dummy node outside bounding box,regular
1575532847,note,Way ref dummy node outside bounding box,regular
7644064517,note,Way ref dummy node outside bounding box,regular
4466773649,note,Way ref dummy node outside bounding box,regular
411013587,note,Way ref dummy node outside bounding box,regular
3184245246,note,Way ref dummy node outside bounding box,regular
2798931171,note,Way ref dummy node outside bounding box,regular
3867136583,note,Way ref dummy node outside bounding box,regular
267116531,note,Way ref dummy node outside bounding box,regular
82468435,note,Way ref dummy node outside bounding box,regular
