id,key,value,type
131516,cid_58:tabcd_1:Class,Point,TMC
131516,cid_58:tabcd_1:Direction,positive,TMC
131516,cid_58:tabcd_1:LCLversion,9.00,TMC
131516,cid_58:tabcd_1:LocationCode,57656,TMC
131516,cid_58:tabcd_1:NextLocationCode,57658,TMC
131516,cid_58:tabcd_1:PrevLocationCode,57655,TMC
131521,bus,yes,regular
131521,name,"Ahrenlohe, Hörnweg",regular
131521,public_transport,stop_position,regular
131533,highway,traffic_signals,regular
131538,name,Heidgraben,regular
131538,traffic_sign,city_limit,regular
131555,bus,yes,regular
131555,name,"Groß Nordende, Kahlkes Weg",regular
131555,public_transport,stop_position,regular
131571,bus,yes,regular
131571,name,"Uetersen, Buttermarkt",regular
131571,network,HVV,regular
131571,public_transport,stop_position,regular
131584,highway,traffic_signals,regular
20696572,traffic_sign,maxspeed,regular
20696609,cid_58:tabcd_1:Class,Point,TMC
20696609,cid_58:tabcd_1:Direction,negative,TMC
20696609,cid_58:tabcd_1:LCLversion,9.00,TMC
20696609,cid_58:tabcd_1:LocationCode,57656,TMC
20696609,cid_58:tabcd_1:NextLocationCode,57658,TMC
20696609,cid_58:tabcd_1:PrevLocationCode,57655,TMC
20696609,highway,traffic_signals,regular
20696634,bus,yes,regular
20696634,name,"Bevern, Gemeindehaus",regular
20696634,public_transport,stop_position,regular
21420967,highway,traffic_signals,regular
21421096,bus,yes,regular
21421096,name,"Ellerhoop, Rugenranzel",regular
21421096,public_transport,stop_position,regular
21421106,bus,yes,regular
21421106,name,Kummerfeld (Nord),regular
21421106,public_transport,stop_position,regular
31630876,created_by,JOSM,regular
31630890,created_by,JOSM,regular
31630892,created_by,JOSM,regular
32256690,highway,traffic_signals,regular
48663224,created_by,JOSM,regular
48663225,created_by,JOSM,regular
48663236,created_by,JOSM,regular
48663239,created_by,JOSM,regular
48663242,created_by,JOSM,regular
48663252,created_by,JOSM,regular
48663257,created_by,JOSM,regular
48663266,created_by,JOSM,regular
48663269,created_by,JOSM,regular
48663277,created_by,JOSM,regular
48663279,created_by,JOSM,regular
48663305,created_by,JOSM,regular
48664704,bus,yes,regular
48664704,name,"Klein Nordende, Schulstraße",regular
48664704,public_transport,stop_position,regular
48664714,created_by,JOSM,regular
48664723,highway,traffic_signals,regular
48664729,created_by,JOSM,regular
48664736,highway,traffic_signals,regular
48700656,created_by,JOSM,regular
48700667,created_by,JOSM,regular
48700670,created_by,JOSM,regular
48700672,created_by,JOSM,regular
48700683,created_by,JOSM,regular
48714474,bus,yes,regular
48714474,description,Ersatzhaltestelle für Schienenersatzverkehr,regular
48714474,highway,bus_stop,regular
48714474,name,Bf. Prisdorf (SEV),regular
48714474,network,HVV,regular
48714474,public_transport,platform,regular
48714474,shelter,yes,regular
73146938,railway,signal,regular
73146938,signal:direction,backward,railway
73146938,signal:position,left,railway
73146938,signal:station_distant,DE-ESO:ne6,railway
73146938,signal:station_distant:form,sign,railway
82468797,highway,traffic_signals,regular
82468813,highway,traffic_signals,regular
89391025,created_by,JOSM,regular
89391031,created_by,JOSM,regular
89391039,created_by,JOSM,regular
89391079,created_by,JOSM,regular
89391082,created_by,JOSM,regular
89391179,created_by,JOSM,regular
95204837,created_by,JOSM,regular
95204985,cid_58:tabcd_1:Class,Point,TMC
95204985,cid_58:tabcd_1:Direction,positive,TMC
95204985,cid_58:tabcd_1:LCLversion,9.00,TMC
95204985,cid_58:tabcd_1:LocationCode,44670,TMC
95204985,cid_58:tabcd_1:NextLocationCode,10625,TMC
95204985,cid_58:tabcd_1:PrevLocationCode,10624,TMC
95205027,cid_58:tabcd_1:Class,Point,TMC
95205027,cid_58:tabcd_1:Direction,negative,TMC
95205027,cid_58:tabcd_1:LCLversion,9.00,TMC
95205027,cid_58:tabcd_1:LocationCode,44670,TMC
95205027,cid_58:tabcd_1:NextLocationCode,10625,TMC
95205027,cid_58:tabcd_1:PrevLocationCode,10624,TMC
95205148,cid_58:tabcd_1:Class,Point,TMC
95205148,cid_58:tabcd_1:Direction,positive,TMC
95205148,cid_58:tabcd_1:LCLversion,9.00,TMC
95205148,cid_58:tabcd_1:LocationCode,10625,TMC
95205148,cid_58:tabcd_1:NextLocationCode,10626,TMC
95205148,cid_58:tabcd_1:PrevLocationCode,44670,TMC
95205148,highway,motorway_junction,regular
95205148,name,Tornesch,regular
95205148,ref,15,regular
95205195,cid_58:tabcd_1:Class,Point,TMC
95205195,cid_58:tabcd_1:Direction,negative,TMC
95205195,cid_58:tabcd_1:LCLversion,9.00,TMC
95205195,cid_58:tabcd_1:LocationCode,10625,TMC
95205195,cid_58:tabcd_1:NextLocationCode,10626,TMC
95205195,cid_58:tabcd_1:PrevLocationCode,44670,TMC
95205195,highway,motorway_junction,regular
95205195,name,Tornesch,regular
95205195,ref,15,regular
95205358,created_by,JOSM,regular
95205408,created_by,JOSM,regular
95205418,created_by,JOSM,regular
95205447,cid_58:tabcd_1:Class,Point,TMC
95205447,cid_58:tabcd_1:Direction,positive,TMC
95205447,cid_58:tabcd_1:LCLversion,9.00,TMC
95205447,cid_58:tabcd_1:LocationCode,10626,TMC
95205447,cid_58:tabcd_1:NextLocationCode,10627,TMC
95205447,cid_58:tabcd_1:PrevLocationCode,10625,TMC
95205447,highway,motorway_junction,regular
95205447,name,Elmshorn,regular
95205447,ref,14,regular
95205492,cid_58:tabcd_1:Class,Point,TMC
95205492,cid_58:tabcd_1:Direction,negative,TMC
95205492,cid_58:tabcd_1:LCLversion,9.00,TMC
95205492,cid_58:tabcd_1:LocationCode,10626,TMC
95205492,cid_58:tabcd_1:NextLocationCode,10627,TMC
95205492,cid_58:tabcd_1:PrevLocationCode,10625,TMC
95205492,highway,motorway_junction,regular
95205492,name,Elmshorn,regular
95205492,ref,14,regular
95205576,highway,give_way,regular
95205587,bus,yes,regular
95205587,name,"Kölln-Reisiek, An der Autobahn",regular
95205587,public_transport,stop_position,regular
95205591,name,Kölln-Reisiek,regular
95205591,traffic_sign,city_limit,regular
95205629,created_by,JOSM,regular
95205637,created_by,JOSM,regular
95205640,created_by,JOSM,regular
95205672,created_by,JOSM,regular
95205676,created_by,JOSM,regular
95205681,name,Bokholt-Hanredder,regular
95205681,traffic_sign,city_limit,regular
95205758,created_by,JOSM,regular
95205762,created_by,JOSM,regular
95205765,created_by,JOSM,regular
95205768,created_by,JOSM,regular
95205772,created_by,JOSM,regular
95205785,created_by,JOSM,regular
95205802,created_by,JOSM,regular
95205804,created_by,JOSM,regular
95205806,created_by,JOSM,regular
95205814,created_by,JOSM,regular
95205819,created_by,JOSM,regular
95205823,created_by,JOSM,regular
95205827,created_by,JOSM,regular
95205831,created_by,JOSM,regular
95205835,created_by,JOSM,regular
95205840,created_by,JOSM,regular
95205913,created_by,JOSM,regular
95205920,name,Klein Offenseth-Sparrieshoop,regular
95205920,traffic_sign,city_limit,regular
95205930,created_by,JOSM,regular
195451246,highway,traffic_signals,regular
195451249,highway,traffic_signals,regular
195451249,railway,level_crossing,regular
195755829,highway,turning_circle,regular
195760475,highway,turning_circle,regular
195770305,noexit,yes,regular
195811908,amtlicher_gemeindeschluessel,01056048,de
195811908,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
195811908,name,Tornesch,regular
195811908,place,town,regular
195811908,population,12876,regular
195811908,postal_code,25436,regular
195815236,amtlicher_gemeindeschluessel,01056049,de
195815236,is_in,"Kreis Pinneberg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe",regular
195815236,name,Uetersen,regular
195815236,place,town,regular
195815236,population,17871,regular
195815236,postal_code,25436,regular
195815236,wikidata,Q1404,regular
195869288,railway,switch,regular
195869288,local_operated,yes,railway
195869288,switch,default,railway
