id,user,uid,version,changeset,timestamp
4043904,frantzius2177,1551542,14,62203571,2018-09-01T17:53:48Z
4068693,OSchlüter,66904,57,87553168,2020-07-05T11:52:01Z
4068894,frantzius2177,1551542,10,59513934,2018-06-03T17:13:44Z
4883067,hotteliene,1913655,20,48389569,2017-05-04T09:56:18Z
4920288,OSchlüter,66904,44,73466438,2019-08-18T15:04:19Z
4920290,karmsudi,10252542,21,89800682,2020-08-23T08:08:49Z
4920291,OSchlüter,66904,24,73459955,2019-08-18T10:02:31Z
4920301,grüni,497794,13,8902983,2011-08-02T17:13:28Z
8304391,kevinq,143777,11,47551783,2017-04-07T20:31:40Z
8304394,thetornado76,1624486,11,46155318,2017-02-17T05:52:59Z
8304402,OSchlüter,66904,11,55056608,2017-12-31T12:21:39Z
8304421,Ottonormalverbraucher,2419578,42,75446882,2019-10-09T08:38:51Z
8481442,OSchlüter,66904,18,73436280,2019-08-17T07:21:21Z
8552464,OSchlüter,66904,21,75933571,2019-10-19T15:57:56Z
8553282,OSchlüter,66904,22,48258692,2017-04-29T15:26:23Z
8553283,sundew,617520,11,36116060,2015-12-22T23:29:44Z
8553284,Críostaí,2969228,15,56701404,2018-02-26T20:08:28Z
8553286,sundew,617520,10,36515019,2016-01-11T22:37:31Z
8553295,volojusa,10170579,11,77815979,2019-12-02T11:20:11Z
8553298,theblackcat,35571,8,267739,2008-06-23T10:22:24Z
8553301,OSchlüter,66904,12,48255804,2017-04-29T13:08:51Z
8553304,OSchlüter,66904,12,46953982,2017-03-18T11:49:04Z
8553308,FinnTastic,67419,9,36075148,2015-12-20T22:49:06Z
8553319,OSchlüter,66904,13,46596782,2017-03-05T14:06:08Z
8553336,westnordost,1205786,12,32264927,2015-06-28T15:10:18Z
8553338,CA*,112319,7,2183983,2009-08-17T23:02:24Z
8553351,highpotential,64134,15,28346533,2015-01-23T10:54:25Z
8553352,westnordost,1205786,15,24660967,2014-08-10T18:33:25Z
8553355,OSchlüter,66904,12,49043218,2017-05-28T11:19:44Z
8553363,peter_elveshorn,677977,9,61416838,2018-08-06T22:02:03Z
8553364,peter_elveshorn,677977,23,67244060,2019-02-16T02:35:22Z
8553454,karmsudi,10252542,42,82703162,2020-03-27T08:35:13Z
10041220,sundew,617520,26,51792551,2017-09-06T20:19:18Z
10440473,hotteliene,1913655,21,48389005,2017-05-04T09:34:58Z
10716989,thadad,10252541,13,86681169,2020-06-15T17:17:32Z
10716990,hendrik-17,614322,6,30197157,2015-04-13T19:50:02Z
10716991,asnghpi,10170574,23,78873213,2019-12-26T09:22:53Z
10716994,simlox,795290,7,43970334,2016-11-26T19:47:07Z
10716995,simlox,795290,2,43970334,2016-11-26T19:47:08Z
10716996,simlox,795290,9,43970334,2016-11-26T19:47:08Z
10716998,simlox,795290,3,43970334,2016-11-26T19:47:08Z
10717001,osmsh,85409,2,38399073,2016-04-08T07:36:19Z
10717002,simlox,795290,8,43970334,2016-11-26T19:47:08Z
10717005,simlox,795290,3,43970334,2016-11-26T19:47:08Z
10717008,NovemberCharly,438869,9,59583902,2018-06-05T22:48:38Z
10717009,kevinq,143777,9,47488499,2017-04-05T20:19:05Z
10717012,kevinq,143777,8,47488499,2017-04-05T20:19:05Z
10717014,kevinq,143777,10,47551783,2017-04-07T20:31:40Z
10717032,kevinq,143777,5,47551783,2017-04-07T20:31:40Z
10717035,OSchlüter,66904,4,87553168,2020-07-05T11:52:01Z
10717036,OSchlüter,66904,9,87553168,2020-07-05T11:52:01Z
10717038,frantzius2177,1551542,10,59513934,2018-06-03T17:13:44Z
10717040,thetornado76,1624486,8,46155318,2017-02-17T05:53:00Z
10717042,kevinq,143777,8,47560666,2017-04-08T07:30:17Z
10717044,kevinq,143777,8,47560666,2017-04-08T07:30:17Z
10717045,puppalg,10252562,16,83038498,2020-04-03T14:11:57Z
10717047,KTim,75623,4,6030530,2010-10-13T17:44:34Z
10717049,Miple,53559,8,44257623,2016-12-08T13:03:43Z
10717051,Ottonormalverbraucher,2419578,15,75440458,2019-10-09T06:46:42Z
10717053,Ottonormalverbraucher,2419578,15,75440458,2019-10-09T06:46:42Z
10717055,kevinq,143777,18,80405970,2020-02-01T10:59:37Z
10717057,kevinq,143777,10,80405970,2020-02-01T10:59:37Z
10717059,Ottonormalverbraucher,2419578,8,75440458,2019-10-09T06:46:42Z
10717061,kevinq,143777,11,80405970,2020-02-01T10:59:37Z
10717063,Ottonormalverbraucher,2419578,8,75440458,2019-10-09T06:46:42Z
10717066,kevinq,143777,9,80405970,2020-02-01T10:59:37Z
10717068,Ottonormalverbraucher,2419578,7,75440458,2019-10-09T06:46:42Z
10717069,hotteliene,1913655,8,48350742,2017-05-03T01:08:57Z
10717073,emvee,5211,8,76528543,2019-11-02T13:55:22Z
10717077,kevinq,143777,10,46764517,2017-03-11T15:06:46Z
10717079,hotteliene,1913655,20,48351714,2017-05-03T02:48:23Z
10717081,kevinq,143777,10,46764517,2017-03-11T15:06:42Z
10717083,hotteliene,1913655,18,48351699,2017-05-03T02:46:54Z
10717087,Ottonormalverbraucher,2419578,31,75418611,2019-10-08T14:32:55Z
10717088,Velorep,1140155,11,30021002,2015-04-06T17:14:36Z
10717090,Velorep,1140155,13,50219983,2017-07-12T07:01:29Z
10717094,adjuva,92274,7,71087352,2019-06-10T05:00:00Z
10717097,osmsh,85409,4,15827366,2013-04-22T17:37:29Z
10717098,OSchlüter,66904,4,43225403,2016-10-27T18:44:14Z
10717102,sundew,617520,6,24433173,2014-07-29T22:35:12Z
10717104,OSchlüter,66904,17,54678157,2017-12-16T12:18:04Z
18916254,frantzius2177,1551542,7,61539908,2018-08-10T14:07:09Z
18916409,asnghpi,10170574,8,79603345,2020-01-15T10:54:10Z
18916441,Zeitfraktur,220200,8,62871472,2018-09-24T08:15:55Z
18916830,Zeitfraktur,220200,10,62871472,2018-09-24T08:15:55Z
18916912,GeoMagician,22646,9,8399670,2011-06-10T18:39:23Z
18917035,derandi,28234,6,53590363,2017-11-07T19:08:29Z
18917139,LarsF,56631,6,436611,2008-08-28T10:59:17Z
18917163,LarsF,56631,5,3356049,2009-12-12T14:26:22Z
18917196,derandi,28234,10,53590363,2017-11-07T19:08:29Z
18917297,user_6932,6932,7,48599551,2017-05-11T17:18:49Z
18917333,user_6932,6932,7,65532298,2018-12-16T21:29:23Z
18917635,user_6932,6932,8,48551994,2017-05-10T06:31:49Z
18917685,LarsF,56631,4,3356049,2009-12-12T14:26:20Z
18917860,LarsF,56631,4,3356049,2009-12-12T14:26:20Z
18917949,user_6932,6932,6,48551994,2017-05-10T06:31:41Z
18918064,LarsF,56631,5,3356049,2009-12-12T14:26:20Z
18918342,derandi,28234,7,53590363,2017-11-07T19:08:29Z
18918616,Críostaí,2969228,11,36619897,2016-01-16T17:31:12Z
18918733,Zeitfraktur,220200,9,62870330,2018-09-24T07:34:16Z
18918739,Zeitfraktur,220200,6,62909762,2018-09-25T11:25:19Z
18919116,Zeitfraktur,220200,14,62887893,2018-09-24T17:04:39Z
18919191,LarsF,56631,6,3356049,2009-12-12T14:26:22Z
18919309,frantzius2177,1551542,8,58958185,2018-05-14T16:30:35Z
18922765,wsoroe,507893,8,80855475,2020-02-11T14:09:51Z
18922813,LarsF,56631,9,3356049,2009-12-12T14:26:25Z
18923103,Jens HH,2120397,9,84531383,2020-05-02T17:49:47Z
18927091,adjuva,92274,25,71284564,2019-06-15T17:02:21Z
18970167,Zartbitter,40397,3,27016205,2014-11-25T08:24:56Z
18970647,asnghpi,10170574,4,78869831,2019-12-26T07:50:05Z
18970732,user_6932,6932,11,48551994,2017-05-10T06:32:08Z
18970990,derandi,28234,4,53590363,2017-11-07T19:08:29Z
18971080,ma-rt-in,1431737,9,68525968,2019-03-25T22:41:24Z
18971275,derandi,28234,4,53590363,2017-11-07T19:08:29Z
18971345,LarsF,56631,7,3356049,2009-12-12T14:26:25Z
18971368,LarsF,56631,4,3356049,2009-12-12T14:26:25Z
18971387,pravalg,10219377,13,81434852,2020-02-25T05:16:06Z
18971406,frantzius2177,1551542,8,59513935,2018-06-03T17:13:41Z
18971482,user_6932,6932,7,68477735,2019-03-24T17:01:06Z
18971560,LarsF,56631,7,3356049,2009-12-12T14:25:47Z
18971566,LarsF,56631,7,3356049,2009-12-12T14:26:08Z
18971570,Críostaí,2969228,5,36619897,2016-01-16T17:31:13Z
18971574,LarsF,56631,7,3356049,2009-12-12T14:26:08Z
18971588,LarsF,56631,3,3356049,2009-12-12T14:26:07Z
18971646,chaubean,10252553,11,83364062,2020-04-10T12:31:26Z
18971653,LarsF,56631,11,85978195,2020-05-30T10:53:21Z
18971665,LarsF,56631,8,3356049,2009-12-12T14:26:11Z
18971697,LarsF,56631,10,3356049,2009-12-12T14:25:45Z
18971720,sundew,617520,6,36116060,2015-12-22T23:29:40Z
18971768,Miple,53559,9,44262721,2016-12-08T17:22:19Z
18971879,frantzius2177,1551542,26,61539908,2018-08-10T14:09:42Z
18971904,ma-rt-in,1431737,14,68525968,2019-03-25T22:41:24Z
18971946,thadad,10252541,16,85736436,2020-05-26T00:59:16Z
18971984,LarsF,56631,6,3356049,2009-12-12T14:26:12Z
18972080,LarsF,56631,14,3356049,2009-12-12T14:26:09Z
18972114,autinerd,483732,8,61490888,2018-08-09T07:45:24Z
18972150,Zartbitter,40397,17,57437392,2018-03-22T20:53:17Z
18972232,LarsF,56631,5,3356049,2009-12-12T14:26:03Z
18972278,frantzius2177,1551542,13,61539908,2018-08-10T14:10:15Z
18972302,LarsF,56631,5,3356049,2009-12-12T14:26:03Z
18972622,Críostaí,2969228,12,37964617,2016-03-20T21:42:05Z
